,Players,Batting,Bowling,Games,Won,Drawn,Win %,Innings Batted,Runs,Singles,Fours,Sixes,Dot Balls,Balls Faced,Outs,Bowled Outs,LBW Outs,Hitwicket Outs,Caught Outs,Stumped Outs,Run Outs,Caught and Bowled Outs,Dot Ball %,Strike Turnover %,Batting S/R,Batting S/R MeanAD,Batting Avg,Mean Score,Score MeanAD,Scoring Consistency,Boundary %,Runs/Ball,Mean Balls Faced,Balls Faced MeanAD,Survival Consistency,Avg First Boundary Ball,Dismissal Rate,Boundary Rate,Innings Bowled,Runsgiven,Singlesgiven,Foursgiven,Sixesgiven,Wickets,Balls Bowled,Extras,No Balls,Wides,Dot Balls Bowled,Bowleds,LBWs,Hitwickets,Caughts,Stumpeds,Caught and Bowleds,Catches,Runouts,Stumpings,Economy Rate,Economy Rate MeanAD,Dot Ball Bowled %,Boundary Given %,Bowling Avg,Bowling Avg MeanAD,Bowling S/R,Bowling S/R MeanAD,Runsgiven/Ball,Boundary Given Rate,Strike Turnovergiven %,Avg Consecutive Dot Balls,Runs Rate,Runsgiven/Wicket,Runs AA,Runs/Ball AA,Runsgiven AA,Runsgiven/Ball AA
KR Mayers,KR Mayers,Left hand,Right arm pace,2,2,0,100.0,2,68,16,2,7,12,39,1,0,0,0,1,0,0,0,0.3,39.0,174.4,21.74,68.0,34.0,2.0,94.1,23.1,1.7,19.5,3.5,82.1,6.0,39.0,4.3,1,9,1,0,1,0,6,0,0,0,3,0,0,0,0,0,0,2,0,0,9.0,0,50.0,16.7,inf,0,inf,0,1.5,6.0,0.0,3.0,10.5,inf,54.5,0.7,-5.3,0.1
N Peter,N Peter,,,2,0,0,0.0,1,10,4,1,0,1,7,0,0,0,0,0,0,0,0,0.1,71.4,142.9,0.0,inf,10.0,0.0,100.0,14.3,1.4,7.0,0.0,100.0,4.0,inf,7.0,2,59,22,1,4,3,36,7,1,6,9,0,0,0,3,0,0,0,0,0,9.8,0,25.0,13.9,19.67,0,12.0,0,1.6,7.2,51.3,1.1,8.6,19.7,-3.5,0.4,44.7,0.2
PWA Mulder,PWA Mulder,Right hand,Right arm pace,2,0,0,0.0,2,45,13,4,1,12,36,2,0,0,0,2,0,0,0,0.3,35.1,125.0,8.03,22.5,22.5,13.5,40.0,13.9,1.2,18.0,10.0,44.4,8.0,18.0,7.2,2,23,2,3,1,0,12,1,0,1,4,0,0,0,0,0,0,1,0,0,11.5,0,33.3,33.3,inf,0,inf,0,1.9,3.0,30.8,2.5,7.5,inf,31.5,0.2,8.7,0.5
RL Chase,RL Chase,Right hand,Right arm off break,1,1,0,100.0,1,67,17,7,2,7,38,0,0,0,0,0,0,0,0,0.2,43.6,176.3,0.0,inf,67.0,0.0,100.0,23.7,1.8,38.0,0.0,100.0,3.0,inf,4.2,1,26,10,3,0,1,24,2,2,0,11,1,0,0,0,0,0,0,0,0,6.5,0,45.8,12.5,26.0,0,24.0,0,1.1,8.0,50.0,2.2,10.6,26.0,53.5,0.8,11.7,-0.3
AL Phehlukwayo,AL Phehlukwayo,Left hand,Right arm pace,1,0,0,0.0,1,3,3,0,0,2,6,1,0,0,0,1,0,0,0,0.3,83.3,50.0,0.0,3.0,3.0,0.0,100.0,0.0,0.5,6.0,0.0,100.0,,6.0,inf,1,51,7,2,6,2,18,0,0,0,3,0,1,0,1,0,0,0,0,0,17.0,0,16.7,44.4,25.5,0,9.0,0,2.8,2.2,44.4,1.5,3.0,25.5,-10.5,-0.5,36.7,1.4
ADS Fletcher,ADS Fletcher,Right hand,Right arm pace,2,2,0,100.0,1,29,11,1,2,3,18,1,0,1,0,0,0,0,0,0.2,47.4,161.1,0.0,29.0,29.0,0.0,100.0,16.7,1.6,18.0,0.0,100.0,11.0,18.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,,,,0,,0,,,,0.0,9.7,,15.5,0.6,-14.3,
R Shepherd,R Shepherd,Right hand,Right arm pace,1,1,0,100.0,1,26,4,1,3,4,13,1,0,0,0,1,0,0,0,0.3,42.9,200.0,0.0,26.0,26.0,0.0,100.0,30.8,2.0,13.0,0.0,100.0,5.0,13.0,3.2,1,23,12,1,0,1,24,3,0,3,7,0,0,0,1,0,0,0,0,0,5.8,0,29.2,4.2,23.0,0,24.0,0,1.0,24.0,59.3,1.3,12.0,23.0,12.5,1.0,8.7,-0.4
RR Hendricks,RR Hendricks,Right hand,Right arm off break,2,0,0,0.0,2,40,6,3,3,9,24,2,1,0,0,1,0,0,0,0.4,16.0,166.7,44.44,20.0,20.0,14.0,30.0,25.0,1.7,12.0,6.0,50.0,4.5,12.0,4.0,1,29,6,0,3,0,17,1,0,1,5,0,0,0,0,0,0,1,0,0,10.2,0,29.4,17.6,inf,0,inf,0,1.7,5.7,33.3,1.5,10.0,inf,26.5,0.7,14.7,0.3
FA Allen,FA Allen,Right hand,Left arm orthodox,2,2,0,100.0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,100.0,,1.0,inf,2,30,12,3,0,0,24,0,0,0,6,0,0,0,0,0,0,0,0,0,7.5,0,25.0,12.5,inf,0,inf,0,1.2,8.0,58.3,1.5,0.0,inf,-13.5,-1.0,15.7,-0.2
MP Breetzke,MP Breetzke,Right hand,,2,0,0,0.0,2,17,11,0,0,9,23,2,0,0,0,1,0,1,0,0.4,56.5,73.9,1.78,8.5,8.5,3.5,58.8,0.0,0.7,11.5,4.5,60.9,,11.5,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,,,,0,,0,,,,0.0,4.4,,3.5,-0.3,-14.3,
