,Players,Batting,Bowling,Games,Won,Drawn,Win %,Innings Batted,Runs,Singles,Fours,Sixes,Dot Balls,Balls Faced,Outs,Bowled Outs,LBW Outs,Hitwicket Outs,Caught Outs,Stumped Outs,Run Outs,Caught and Bowled Outs,Dot Ball %,Strike Turnover %,Batting S/R,Batting S/R MeanAD,Batting Avg,Mean Score,Score MeanAD,Scoring Consistency,Boundary %,Runs/Ball,Mean Balls Faced,Balls Faced MeanAD,Survival Consistency,Avg First Boundary Ball,Dismissal Rate,Boundary Rate,Innings Bowled,Runsgiven,Singlesgiven,Foursgiven,Sixesgiven,Wickets,Balls Bowled,Extras,No Balls,Wides,Dot Balls Bowled,Bowleds,LBWs,Hitwickets,Caughts,Stumpeds,Caught and Bowleds,Catches,Runouts,Stumpings,Economy Rate,Economy Rate MeanAD,Dot Ball Bowled %,Boundary Given %,Bowling Avg,Bowling Avg MeanAD,Bowling S/R,Bowling S/R MeanAD,Runsgiven/Ball,Boundary Given Rate,Strike Turnovergiven %,Avg Consecutive Dot Balls,Runs Rate,Runsgiven/Wicket,Runs AA,Runs/Ball AA,Runsgiven AA,Runsgiven/Ball AA
W Kevin,W Kevin,,,1,1,0,100.0,1,4,0,1,0,4,5,0,0,0,0,0,0,0,0,0.8,0.0,80.0,0.0,inf,4.0,0.0,100.0,20.0,0.8,5.0,0.0,100.0,4.0,inf,5.0,1,9,2,0,0,0,6,1,0,1,1,0,0,0,0,0,0,0,0,0,9.0,0,16.7,0.0,inf,0,inf,0,1.5,inf,42.9,1.0,4.8,inf,-296.9,-0.1,-304.1,0.2
K Abdulquadri,K Abdulquadri,Right hand,Right arm leg break,8,3,0,37.5,8,69,28,3,0,94,142,8,3,0,0,2,1,1,1,0.7,30.3,48.6,18.15,8.62,8.62,6.19,28.200000000000003,2.1,0.5,17.8,8.38,52.9,13.0,17.8,47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,0,,,,0,,0,,,,0.0,2.9,,-231.9,-0.4,-313.1,
D Igihozo,D Igihozo,,,1,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,,,,,0.0,,,,,1,11,6,1,0,1,24,1,0,1,17,1,0,0,0,0,0,0,0,0,2.8,0,70.8,4.2,11.0,0,24.0,0,0.5,24.0,24.0,2.8,,11.0,-300.9,,-302.1,-0.8
F Eseigbe,F Eseigbe,Right hand,Right arm leg break,24,11,0,45.8,20,120,64,8,0,194,282,18,6,4,0,3,0,3,2,0.7,27.0,42.6,20.73,6.67,6.0,3.4,43.3,2.8,0.4,14.1,7.01,50.3,9.0,15.7,35.2,14,219,106,11,2,9,288,13,2,11,146,1,0,0,8,0,0,2,3,0,4.6,0,50.7,4.5,24.33,0,32.0,0,0.8,22.2,36.0,2.2,2.6,24.3,-180.9,-0.5,-94.1,-0.5
S Sunday,S Sunday,Right hand,Right arm pace,27,12,0,44.4,24,403,103,50,5,235,437,22,7,1,0,10,0,3,1,0.5,27.1,92.2,46.29,18.32,16.79,12.91,23.099999999999994,12.6,0.9,18.2,11.53,36.6,9.2,19.9,7.9,1,11,6,0,0,1,12,0,0,0,3,1,0,0,0,0,0,4,3,0,5.5,0,25.0,0.0,11.0,0,12.0,0,0.9,inf,58.3,1.3,5.5,11.0,102.1,0.0,-302.1,-0.4
S Ingabire,S Ingabire,Right hand,Right arm off break,11,5,0,45.5,10,75,59,0,0,92,164,9,1,0,0,3,0,2,3,0.6,44.4,45.7,18.32,8.33,7.5,6.8,9.299999999999997,0.0,0.5,16.4,11.08,32.400000000000006,,18.2,inf,8,122,53,9,0,8,138,5,0,5,63,3,1,0,3,0,1,0,4,0,5.3,0,45.7,6.5,15.25,0,17.2,0,0.9,15.3,38.7,2.1,2.7,15.2,-225.9,-0.4,-191.1,-0.4
D Kegasitswe,D Kegasitswe,Right hand,Right arm pace,4,0,0,0.0,2,5,3,0,0,7,11,0,0,0,0,0,0,0,0,0.6,36.4,45.5,42.86,inf,2.5,1.5,40.0,0.0,0.5,5.5,1.5,72.7,,inf,inf,3,156,24,11,11,2,72,8,1,7,20,0,0,0,2,0,0,0,0,0,13.0,0,27.8,30.6,78.0,0,36.0,0,2.2,3.3,30.4,1.3,2.7,78.0,-295.9,-0.4,-157.1,0.9
B Khumalo,B Khumalo,Right hand,Right arm pace,12,3,0,25.0,4,6,4,0,0,4,11,2,1,0,0,0,0,1,0,0.4,54.5,54.5,47.08,3.0,1.5,1.0,33.3,0.0,0.5,2.8,1.25,55.4,,5.5,inf,11,183,57,16,5,5,149,14,5,9,61,1,1,0,3,0,0,3,1,0,7.4,0,40.9,14.1,36.6,0,29.8,0,1.2,7.1,38.7,1.6,3.3,36.6,-294.9,-0.4,-130.1,-0.1
P Silas,P Silas,Right hand,Right arm leg break,23,8,0,34.8,17,209,70,11,4,74,196,13,1,1,0,6,0,4,1,0.4,37.8,106.6,56.47,16.08,12.29,10.23,16.799999999999997,7.7,1.1,11.5,7.91,31.200000000000003,7.0,15.1,13.1,2,34,3,2,3,0,12,1,1,0,3,0,0,0,0,0,0,14,0,0,17.0,0,25.0,41.7,inf,0,inf,0,2.8,2.4,30.8,1.0,6.4,inf,-91.9,0.2,-279.1,1.5
Ameer Saiyed,Ameer Saiyed,Left hand,Left arm orthodox,11,1,0,9.1,10,154,49,14,2,85,170,10,0,1,0,8,0,1,0,0.5,34.1,90.6,35.74,15.4,15.4,11.08,28.099999999999994,9.4,0.9,17.0,6.4,62.4,4.8,17.0,10.6,6,105,20,5,5,3,70,2,0,2,24,0,0,0,3,0,0,1,0,0,9.0,0,34.3,14.3,35.0,0,23.3,0,1.5,7.0,30.6,1.4,5.4,35.0,-146.9,0.0,-208.1,0.2
